Mobile_Model	Brand	Operating_System	Storage_Size	Color	Product_ID	Price
Galaxy A55	Samsung	Android	128	Black	1	452
Galaxy A55	Samsung	Android	128	Blue	2	454
Galaxy A55	Samsung	Android	128	Green	3	413
Galaxy A55	Samsung	Android	128	Red	4	425
Galaxy A55	Samsung	Android	128	White	5	436
Galaxy A55	Samsung	Android	256	Black	6	490
Galaxy A55	Samsung	Android	256	Blue	7	422
Galaxy A55	Samsung	Android	256	Red	8	456
Galaxy A55	Samsung	Android	256	White	9	456
Galaxy A55	Samsung	Android	64	Black	10	459
Galaxy A55	Samsung	Android	64	Blue	11	459
Galaxy A55	Samsung	Android	64	Green	12	459
Galaxy A55	Samsung	Android	64	Red	13	459
Galaxy M15	Samsung	Android	128	Black	14	306
Galaxy M15	Samsung	Android	128	Blue	15	375
Galaxy M15	Samsung	Android	128	Green	16	362
Galaxy M15	Samsung	Android	128	White	17	347,666666666667
Galaxy M15	Samsung	Android	256	Black	18	323
Galaxy M15	Samsung	Android	256	Blue	19	323
Galaxy M15	Samsung	Android	256	Green	20	325
Galaxy M15	Samsung	Android	256	Red	21	321
Galaxy M15	Samsung	Android	256	White	22	323
Galaxy M15	Samsung	Android	64	Black	23	356,5
Galaxy M15	Samsung	Android	64	Blue	24	367
Galaxy M15	Samsung	Android	64	Green	25	308
Galaxy M15	Samsung	Android	64	Red	26	356
Galaxy M15	Samsung	Android	64	White	27	395
Galaxy S25 Ultra	Samsung	Android	128	Black	28	1248
Galaxy S25 Ultra	Samsung	Android	128	Blue	29	1270
Galaxy S25 Ultra	Samsung	Android	128	Green	30	1269
Galaxy S25 Ultra	Samsung	Android	128	Red	31	1293
Galaxy S25 Ultra	Samsung	Android	128	White	32	1270
Galaxy S25 Ultra	Samsung	Android	256	Black	33	1248
Galaxy S25 Ultra	Samsung	Android	256	Blue	34	1247
Galaxy S25 Ultra	Samsung	Android	256	Green	35	1260
Galaxy S25 Ultra	Samsung	Android	256	Red	36	1240,75
Galaxy S25 Ultra	Samsung	Android	256	White	37	1208
Galaxy S25 Ultra	Samsung	Android	64	Black	38	1207
Galaxy S25 Ultra	Samsung	Android	64	Blue	39	1239
Galaxy S25 Ultra	Samsung	Android	64	Green	40	1255
Galaxy S25 Ultra	Samsung	Android	64	Red	41	1204
Galaxy S25 Ultra	Samsung	Android	64	White	42	1277
iPhone 14	Apple	iOS	128	Black	43	856
iPhone 14	Apple	iOS	128	Blue	44	861
iPhone 14	Apple	iOS	128	Green	45	856
iPhone 14	Apple	iOS	128	Red	46	811
iPhone 14	Apple	iOS	128	White	47	896
iPhone 14	Apple	iOS	256	Black	48	811
iPhone 14	Apple	iOS	256	Blue	49	800
iPhone 14	Apple	iOS	256	Green	50	810
iPhone 14	Apple	iOS	256	Red	51	813
iPhone 14	Apple	iOS	256	White	52	816
iPhone 14	Apple	iOS	64	Black	53	809
iPhone 14	Apple	iOS	64	Blue	54	884
iPhone 14	Apple	iOS	64	Green	55	892
iPhone 14	Apple	iOS	64	Red	56	880
iPhone 14	Apple	iOS	64	White	57	856
iPhone 14 Pro	Apple	iOS	128	Black	58	1043,66666666667
iPhone 14 Pro	Apple	iOS	128	Blue	59	1013
iPhone 14 Pro	Apple	iOS	128	Red	60	1053
iPhone 14 Pro	Apple	iOS	128	White	61	1065
iPhone 14 Pro	Apple	iOS	256	Black	62	1050,5
iPhone 14 Pro	Apple	iOS	256	Blue	63	1059
iPhone 14 Pro	Apple	iOS	256	Green	64	1045
iPhone 14 Pro	Apple	iOS	256	Red	65	1022
iPhone 14 Pro	Apple	iOS	256	White	66	1076
iPhone 14 Pro	Apple	iOS	64	Black	67	1063
iPhone 14 Pro	Apple	iOS	64	Green	68	1021
iPhone 14 Pro	Apple	iOS	64	Red	69	1082
iPhone 14 Pro	Apple	iOS	64	White	70	1032
iPhone 15	Apple	iOS	128	Black	71	872
iPhone 15	Apple	iOS	128	Blue	72	876
iPhone 15	Apple	iOS	128	White	73	823
iPhone 15	Apple	iOS	256	Black	74	864
iPhone 15	Apple	iOS	256	Green	75	858
iPhone 15	Apple	iOS	256	Red	76	852
iPhone 15	Apple	iOS	256	White	77	858
iPhone 15	Apple	iOS	64	Black	78	821
iPhone 15	Apple	iOS	64	Blue	79	845,666666666667
iPhone 15	Apple	iOS	64	Green	80	829
iPhone 15	Apple	iOS	64	Red	81	845,666666666667
iPhone 15	Apple	iOS	64	White	82	887
iPhone 15 Pro	Apple	iOS	128	Black	83	1187,5
iPhone 15 Pro	Apple	iOS	128	Blue	84	1189
iPhone 15 Pro	Apple	iOS	128	Green	85	1186
iPhone 15 Pro	Apple	iOS	128	Red	86	1187,5
iPhone 15 Pro	Apple	iOS	128	White	87	1187,5
iPhone 15 Pro	Apple	iOS	256	Black	88	1146,66666666667
iPhone 15 Pro	Apple	iOS	256	Blue	89	1146,66666666667
iPhone 15 Pro	Apple	iOS	256	Green	90	1142
iPhone 15 Pro	Apple	iOS	256	Red	91	1131
iPhone 15 Pro	Apple	iOS	256	White	92	1167
iPhone 15 Pro	Apple	iOS	64	Black	93	1120
iPhone 15 Pro	Apple	iOS	64	Blue	94	1120
iPhone 15 Pro	Apple	iOS	64	Green	95	1106
iPhone 15 Pro	Apple	iOS	64	Red	96	1120
iPhone 15 Pro	Apple	iOS	64	White	97	1134
iPhone SE	Apple	iOS	128	Black	98	449
iPhone SE	Apple	iOS	128	Blue	99	449
iPhone SE	Apple	iOS	128	Green	100	456
iPhone SE	Apple	iOS	128	Red	101	442
iPhone SE	Apple	iOS	128	White	102	449
iPhone SE	Apple	iOS	256	Black	103	455
iPhone SE	Apple	iOS	256	Blue	104	478
iPhone SE	Apple	iOS	256	Green	105	433
iPhone SE	Apple	iOS	256	Red	106	450
iPhone SE	Apple	iOS	256	White	107	459
iPhone SE	Apple	iOS	64	Black	108	458
iPhone SE	Apple	iOS	64	Blue	109	451
iPhone SE	Apple	iOS	64	Red	110	465
iPhone SE	Apple	iOS	64	White	111	458
Mi 13T Pro	Xiaomi	Android	128	Black	112	546
Mi 13T Pro	Xiaomi	Android	128	Blue	113	535
Mi 13T Pro	Xiaomi	Android	128	Green	114	531
Mi 13T Pro	Xiaomi	Android	128	Red	115	537,333333333333
Mi 13T Pro	Xiaomi	Android	128	White	116	537,333333333333
Mi 13T Pro	Xiaomi	Android	256	Black	117	538,5
Mi 13T Pro	Xiaomi	Android	256	Blue	118	533
Mi 13T Pro	Xiaomi	Android	256	Green	119	544
Mi 13T Pro	Xiaomi	Android	256	Red	120	538,5
Mi 13T Pro	Xiaomi	Android	256	White	121	538,5
Mi 13T Pro	Xiaomi	Android	64	Black	122	518
Mi 13T Pro	Xiaomi	Android	64	Blue	123	518
Mi 13T Pro	Xiaomi	Android	64	Green	124	526,5
Mi 13T Pro	Xiaomi	Android	64	Red	125	528
Mi 13T Pro	Xiaomi	Android	64	White	126	542
OnePlus 11R	OnePlus	Android	128	Black	127	675,5
OnePlus 11R	OnePlus	Android	128	Blue	128	689
OnePlus 11R	OnePlus	Android	128	Green	129	676
OnePlus 11R	OnePlus	Android	128	Red	130	669
OnePlus 11R	OnePlus	Android	128	White	131	668
OnePlus 11R	OnePlus	Android	256	Black	132	699
OnePlus 11R	OnePlus	Android	256	Blue	133	641
OnePlus 11R	OnePlus	Android	256	Green	134	608
